Region,Year,Wine,Beer,Vodka,Sparkling wine,Brandy,Сider,Liqueurs,Total alcohol consumption (in liters of pure alcohol per capita),Mapped_Region
Stavropol Krai,2021,1.67,26.95,2.39,0.84,0.49,0.21,0.35,3.3,Stavropol Krai
bashkortostan,2021,2.28,45.18,5.71,0.76,0.58,0.65,0.79,6.1,Bashkortostan
mari el,2021,2.49,45.41,6.44,0.64,0.69,0.28,0.95,6.7,Mari El
mordovia,2021,1.95,40.46,5.31,0.64,0.44,0.25,0.43,5.4,Mordovia
tatarstan,2021,2.42,48.76,6.46,0.71,0.78,0.35,0.63,6.6,Tatarstan
udmurtia,2021,3.11,57.29,8.53,0.82,0.76,0.38,0.73,8.0,Udmurtia
chuvashia,2021,2.33,37.73,6.8,0.57,0.55,0.22,1.17,6.4,Chuvashia
Perm Krai,2021,3.68,51.71,6.02,0.93,0.83,0.41,0.7,7.0,Perm Krai
Kirov Oblast,2021,3.91,69.57,7.86,1.13,0.76,0.32,0.71,8.7,Kirov Oblast
Nizhny Novgorod Oblast,2021,4.19,48.96,5.39,1.33,0.83,0.79,0.97,7.1,Nizhny Novgorod Oblast
Orenburg Oblast,2021,2.45,47.16,4.05,0.88,0.46,0.2,0.48,5.4,Orenburg Oblast
Penza Oblast,2021,2.44,51.49,4.25,0.75,0.48,0.34,0.92,5.9,Penza Oblast
Samara Oblast,2021,3.37,61.26,4.01,1.16,0.74,0.46,0.53,6.4,Samara Oblast
Saratov Oblast,2021,2.34,50.31,2.8,0.79,0.51,0.33,0.44,5.1,Saratov Oblast
Ulyanovsk Oblast,2021,2.68,44.9,4.07,0.93,0.65,0.36,0.53,5.5,Ulyanovsk Oblast
Kurgan Oblast,2021,2.43,61.53,3.85,0.85,0.47,0.21,0.47,6.2,Kurgan Oblast
Sverdlovsk Oblast,2021,4.67,66.79,5.51,1.36,0.88,0.47,0.71,8.1,Sverdlovsk Oblast
khantymansi autonomous okrug  yugra,2021,3.17,59.42,5.91,1.4,1.12,0.46,0.68,7.4,khantymansi autonomous okrug  yugra
yamalonenets autonomous okrug,2021,3.74,65.84,7.77,1.69,1.64,0.42,0.86,9.1,Yamalo-Nenets Autonomous Okrug
Chelyabinsk Oblast,2021,3.44,49.62,4.69,1.18,0.66,0.39,0.72,6.3,Chelyabinsk Oblast
tyumen oblast,2021,3.41,56.81,4.8,1.19,0.67,0.78,0.5,6.6,Tyumen Oblast
altai republic,2021,2.35,42.54,5.58,0.46,0.48,0.18,0.36,5.6,Altai Republic
tuva,2021,0.69,29.09,2.41,0.27,0.19,0.04,0.07,2.8,Tuva
khakassia,2021,2.71,69.44,3.22,0.87,0.54,0.16,0.6,6.1,Khakassia
altai krai,2021,2.32,50.26,4.12,0.63,0.44,0.22,0.38,5.5,Altai Krai
Krasnoyarsk Krai,2021,3.57,44.23,4.99,1.28,0.87,0.27,0.62,6.1,Krasnoyarsk Krai
Irkutsk Oblast,2021,3.67,59.9,5.49,1.07,0.64,0.42,0.71,7.1,Irkutsk Oblast
kemerovo oblast,2021,2.55,54.9,5.11,0.85,0.7,0.35,0.5,6.3,Kemerovo Oblast
Novosibirsk Oblast,2021,3.72,53.24,3.93,1.1,0.69,0.71,0.46,6.0,Novosibirsk Oblast
Omsk Oblast,2021,2.77,43.55,3.29,1.04,0.54,0.4,0.41,5.0,Omsk Oblast
tomsk oblast,2021,3.35,54.81,4.62,1.1,0.8,0.47,0.5,6.4,Tomsk Oblast
buryatia,2021,2.06,38.04,6.11,0.34,0.41,0.27,0.29,5.6,Buryatia
sakha yakutia,2021,2.49,33.74,6.6,1.01,0.63,0.43,0.28,5.7,Sakha (Yakutia)
Zabaykalsky Krai,2021,2.55,41.11,5.35,0.44,0.33,0.18,0.35,5.5,Zabaykalsky Krai
Kamchatka Krai,2021,4.85,65.65,9.6,2.27,1.71,0.7,0.7,10.1,Kamchatka Krai
Primorsky Krai,2021,4.6,53.95,7.07,1.77,1.06,0.78,0.81,8.0,Primorsky Krai
Khabarovsk Krai,2021,4.02,64.95,8.99,2.01,1.09,0.85,0.91,9.6,Khabarovsk Krai
Amur Oblast,2021,3.69,62.7,7.35,1.1,0.78,0.52,0.79,8.2,Amur Oblast
magadan oblast,2021,4.81,65.51,11.52,2.15,1.84,0.33,0.75,10.9,Magadan Oblast
sakhalin oblast,2021,5.24,67.5,12.46,2.56,1.5,0.72,0.84,11.7,Sakhalin Oblast
jewish autonomous oblast,2021,3.01,71.6,8.21,0.92,0.65,0.63,0.83,9.3,Jewish Autonomous Oblast
chukotka autonomous okrug,2021,3.04,42.55,10.95,1.46,1.68,0.17,0.45,8.5,Chukotka Autonomous Okrug
Belgorod Oblast,2022,2.15,48.07,4.2,1.02,0.56,1.03,0.36,5.3,Belgorod Oblast
bryansk oblast,2022,2.79,45.56,4.86,1.03,0.66,0.46,1.15,6.1,Bryansk Oblast
vladimir oblast,2022,4.39,55.2,7.35,1.26,1.0,0.61,1.24,8.1,Vladimir Oblast
